,latent_error,variance,entropy,edge_density,entropy_diff,edge_diff
latent_error,1.0,0.6786198747633133,0.3490005270945303,0.7225009006684033,-0.2783724692075866,0.11691230091230091
variance,0.6786198747633133,1.0,-0.20116988479094272,0.30321326576146473,0.03347828198045621,0.21106238759513624
entropy,0.3490005270945303,-0.20116988479094272,1.0,0.5123187969296661,-0.5295433683092586,-0.24256457201995946
edge_density,0.7225009006684033,0.30321326576146473,0.5123187969296661,1.0,-0.2995758013732562,0.024280098352938647
entropy_diff,-0.2783724692075866,0.03347828198045621,-0.5295433683092586,-0.2995758013732562,1.0,0.3000209289209917
edge_diff,0.11691230091230091,0.21106238759513624,-0.24256457201995946,0.024280098352938647,0.3000209289209917,1.0
