epoch,method,overall_accuracy,optimal_threshold_max_diff,max_accuracy_difference,easy_accuracy,hard_accuracy,easy_samples,hard_samples,threshold_p25,threshold_p50,threshold_p75,bimodal_threshold,difficulty_range,difficulty_std,difficulty_correlation
0,pixel_entropy,0.02,0.6835519373416901,0.007220707861607462,0.02467115614576122,0.017450448284153756,15889,29111,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.7746921956539154,0.9114025831222534,0.10600830614566803,-0.005039452342236517
1,pixel_entropy,0.03957777777777778,0.7746921956539154,0.018536764813456643,0.04596142765142528,0.027424662837968638,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,0.02025845891222
2,pixel_entropy,0.06793333333333333,0.7746921956539154,0.06601881330634923,0.09066874555129986,0.024649932244950636,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.05550706715041076
3,pixel_entropy,0.06062222222222222,0.7746921956539154,0.04325343473710196,0.07551774395824154,0.03226430922113958,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.06788911221215593
4,pixel_entropy,0.06653333333333333,0.7746921956539154,0.0574859112643987,0.08633020370809748,0.02884429244369878,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.08841638174223553
5,pixel_entropy,0.08295555555555556,0.7746921956539154,0.08184524710111639,0.11114123987391113,0.029295992772794734,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.15766400214502926
6,pixel_entropy,0.09815555555555555,0.7746921956539154,0.08711625733593095,0.1281564586652205,0.04104020132928954,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.7746921956539154,0.9114025831222534,0.10600830614566803,-0.16108214723717026
7,pixel_entropy,0.09986666666666667,0.7746921956539154,0.09868269778338147,0.1338507948344236,0.03516809705104214,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.17581528180798905
8,pixel_entropy,0.12675555555555557,0.7746921956539154,0.12581776594539007,0.17008439819679355,0.044266632251403495,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.16877227662601432
9,pixel_entropy,0.13748888888888888,0.7746921956539154,0.11472883246259796,0.17699894925939735,0.062270116796799384,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.15361076682452415
10,pixel_entropy,0.15044444444444444,0.7746921956539154,0.09954920057379311,0.1847269769176016,0.08517777634380848,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.14077702897932484
11,pixel_entropy,0.18722222222222223,0.7746921956539154,0.12237805572387732,0.22936650510117615,0.10698844937729883,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.09040261167200767
12,pixel_entropy,0.214,0.7746921956539154,0.14658779225055144,0.26448157814459544,0.117893785894044,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.1603350478238757
13,pixel_entropy,0.20306666666666667,0.7746921956539154,0.10688042851814461,0.23987391112768194,0.13299348260953733,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.0910808295857343
14,pixel_entropy,0.2586,0.7746921956539154,0.09040434509815906,0.28973324746635937,0.1993289023682003,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.07217439460420311
15,pixel_entropy,0.28535555555555553,0.7746921956539154,0.14026871415727288,0.3336609836287835,0.1933922694715106,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.11647964711880936
16,pixel_entropy,0.2131111111111111,0.7746921956539154,0.10684684205355457,0.24990678914008746,0.14305994708653288,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.1350929211787435
17,pixel_entropy,0.25995555555555555,0.7746921956539154,0.13026654645675254,0.30481645934311763,0.1745499128863651,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.13122566477380648
18,pixel_entropy,0.3003111111111111,0.7746921956539154,0.09979365824338796,0.33467782937328405,0.2348841711298961,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.094158721472764
19,pixel_entropy,0.3161111111111111,0.7746921956539154,0.09662959937198473,0.34938819781039215,0.2527585984384074,29503,15497,0.6835519373416901,0.7746921956539154,0.8658324539661408,0.6835519373416901,0.9114025831222534,0.10600830614566803,-0.05786460532034857
