method,epochs_analyzed,valid_thresholds,initial_threshold,final_threshold,threshold_change,max_discrimination,final_overall_accuracy,avg_correlation
entropy,20,20,0.9942239761352538,0.14847779242845716,-0.8457461837067967,0.9180080629285037,0.3161111111111111,-0.27231012557249
reconstruction,20,12,0.15000000000000002,0.15000000000000002,0.0,0.03402737118763412,0.3161111111111111,0.021033074263621776
margin,20,20,0.9891710877418518,0.15011436343193052,-0.8390567243099213,0.9620684281993633,0.3161111111111111,-0.31104624332923386
pixel_entropy,20,20,0.6835519373416901,0.7746921956539154,0.09114025831222539,0.14658779225055144,0.3161111111111111,-0.10515647508525816
